| 2020:06:24 22:21:41,723 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:21:41,759 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:21:41,797 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:21:41,948 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 22:21:41,948 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 22:21:41,948 | E | STDERR |     from common import *
| 2020:06:24 22:21:41,949 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 22:21:41,949 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 22:21:41,949 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 674
| 2020:06:24 22:21:41,949 | E | STDERR |     async def delete(self):
| 2020:06:24 22:21:41,949 | E | STDERR |     ^
| 2020:06:24 22:21:41,949 | E | STDERR | IndentationError: unexpected indent
| 2020:06:24 22:23:22,480 | I | root | ------
| 2020:06:24 22:23:22,509 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:23:22,941 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:23:23,018 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:23:23,046 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:23:23,071 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:23:23,094 | I | root | run.py +111 __init__ APP	Running Tornado Application Port - [ 2331 ]
| 2020:06:24 22:24:11,601 | I | tornado.general | /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py modified; restarting server
| 2020:06:24 22:24:11,679 | I | root | ------
| 2020:06:24 22:24:11,707 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:24:12,122 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 22:24:12,191 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 22:24:12,219 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:24:12,245 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 22:24:12,249 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 22:24:12,249 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 22:24:12,249 | E | STDERR |     from common import *
